row ID,row m/z,row retention time,Library Peak area,
row ID,name,ion type,comment,SMILES,InChI
373,414.93910,0,1,
374,414.93910,0,1,
375,414.93910,0,1,
376,414.93910,0,1,
377,414.93910,0,1,
378,414.93910,0,1,
379,414.93910,0,1,
380,414.93910,0,1,
381,414.93910,0,1,
382,343.00360,0,1,
383,343.00360,0,1,
384,343.00360,0,1,
385,364.98550,0,1,
386,491.05460,0,1,
387,1126.44430,0,1,
388,1126.44430,0,1,
389,1126.44430,0,1,
390,645.12910,0,1,
391,645.12910,0,1,
392,645.12910,0,1,
393,645.12910,0,1,
394,623.14720,0,1,
395,623.14720,0,1,
396,623.14720,0,1,
397,623.14720,0,1,
398,623.14720,0,1,
399,623.14720,0,1,
400,623.14720,0,1,
401,623.14720,0,1,
402,595.14110,0,1,
403,436.07260,0,1,
404,436.07260,0,1,
405,436.07260,0,1,
406,436.07260,0,1,
407,436.07260,0,1,
408,327.04720,0,1,
409,327.04720,0,1,
410,327.04720,0,1,
411,327.04720,0,1,
412,327.04720,0,1,
413,327.04720,0,1,
414,327.04720,0,1,
415,251.01370,0,1,
416,251.01370,0,1,
417,251.01370,0,1,
418,251.01370,0,1,
419,251.01370,0,1,
420,251.01370,0,1,
421,620.23830,0,1,
422,620.23830,0,1,
423,620.23830,0,1,
424,620.23830,0,1,
425,620.23830,0,1,
426,431.17140,0,1,
427,431.17140,0,1,
428,431.17140,0,1,
429,431.17140,0,1,
430,243.11280,0,1,
431,243.11280,0,1,
432,243.11280,0,1,
433,673.16040,0,1,
434,673.16040,0,1,
435,673.16040,0,1,
436,673.16040,0,1,
437,673.16040,0,1,
438,651.17850,0,1,
439,651.17850,0,1,
440,651.17850,0,1,
441,651.17850,0,1,
442,450.08830,0,1,
443,450.08830,0,1,
444,450.08830,0,1,
445,450.08830,0,1,
446,450.08830,0,1,
447,251.01370,0,1,
448,251.01370,0,1,
449,251.01370,0,1,
450,251.01370,0,1,
451,251.01370,0,1,
452,343.00400,0,1,
453,343.00400,0,1,
454,343.00400,0,1,
455,328.04830,0,1,
456,328.04830,0,1,
457,328.04830,0,1,
458,270.09160,0,1,
459,270.09160,0,1,
460,270.09160,0,1,
461,270.09160,0,1,
462,257.10750,0,1,
463,257.10750,0,1,
464,257.10750,0,1,
465,257.10750,0,1,
466,463.13770,0,1,
467,463.13770,0,1,
468,903.28610,0,1,
469,774.23640,0,1,
470,774.23640,0,1,
471,423.14510,0,1,
472,423.14510,0,1,
473,423.14510,0,1,
474,423.14510,0,1,
475,334.08220,0,1,
476,334.08220,0,1,
477,334.08220,0,1,
478,334.08220,0,1,
479,334.08220,0,1,
480,334.08220,0,1,
481,441.15570,0,1,
482,441.15570,0,1,
483,441.15570,0,1,
484,441.15570,0,1,
485,218.09570,0,1,
486,218.09570,0,1,
487,218.09570,0,1,
488,703.23160,0,1,
489,703.23160,0,1,
490,703.23160,0,1,
491,341.12850,0,1,
492,341.12850,0,1,
493,341.12850,0,1,
494,341.12850,0,1,
495,341.12850,0,1,
496,341.12850,0,1,
497,341.12850,0,1,
498,341.12850,0,1,
499,680.24180,0,1,
500,680.24180,0,1,
501,680.24180,0,1,
502,679.23450,0,1,
503,679.23450,0,1,
504,679.23450,0,1,
505,679.23450,0,1,
506,679.23450,0,1,
507,679.23450,0,1,
508,326.10500,0,1,
509,326.10500,0,1,
510,313.13350,0,1,
511,313.13350,0,1,
512,313.13350,0,1,
513,313.13350,0,1,
514,313.13350,0,1,
515,313.13350,0,1,
516,313.13350,0,1,
517,1043.35280,0,1,
518,477.15330,0,1,
519,477.15330,0,1,
520,455.17140,0,1,
521,318.08730,0,1,
522,318.08730,0,1,
523,318.08730,0,1,
524,318.08730,0,1,
525,318.08730,0,1,
526,437.16080,0,1,
527,437.16080,0,1,
528,437.16080,0,1,
529,437.16080,0,1,
530,947.29140,0,1,
531,381.01920,0,1,
532,381.01920,0,1,
533,381.01920,0,1,
534,381.01920,0,1,
535,381.01920,0,1,
536,381.01920,0,1,
537,381.01920,0,1,
538,346.05040,0,1,
539,346.05040,0,1,
540,346.05040,0,1,
541,346.05040,0,1,
542,346.05040,0,1,
